system:index,CO_column_number_density,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,date
46,0.035917519,4.73E-05,0.113350336,4.74E-06,2/16/2024
47,0.035335672,5.82E-05,0.116082813,4.57E-04,2/17/2024
48,0.037255833,6.57E-05,0.114417396,1.65E-04,2/18/2024
49,0.037302552,5.61E-05,0.114639533,7.18E-05,2/19/2024
50,0.039784953,7.11E-05,0.115291816,1.83E-04,2/20/2024
51,0.037205476,6.89E-05,0.113516192,,2/21/2024
52,0.037809434,8.33E-05,0.110604417,1.54E-04,2/22/2024
53,0.040838218,8.54E-05,0.110801931,-1.29E-04,2/23/2024
54,0.039402714,5.62E-05,0.109626063,-1.19E-04,2/24/2024
55,0.039234884,5.05E-05,0.11261892,2.07E-05,2/25/2024
56,0.034516552,5.02E-05,0.113595659,4.70E-05,2/26/2024
57,0.038345753,5.89E-05,0.114883442,5.08E-05,2/27/2024
58,0.039504365,6.51E-05,0.113342548,1.04E-04,2/28/2024
59,0.036122636,5.55E-05,0.112670576,1.70E-04,2/29/2024
60,0.037238435,5.80E-05,0.110808951,9.07E-05,3/1/2024
61,0.0365692,5.52E-05,0.111492776,8.23E-05,3/2/2024
62,0.037339818,6.34E-05,0.110807572,3.33E-04,3/3/2024
63,0.037131199,6.23E-05,0.112287338,1.31E-04,3/4/2024
64,0.03661393,6.65E-05,0.11128802,-1.70E-04,3/5/2024
65,0.037829228,7.65E-05,0.111004306,8.81E-05,3/6/2024
66,0.039056824,7.13E-05,0.111052727,2.31E-04,3/7/2024
67,0.037266202,7.60E-05,0.113092939,2.10E-04,3/8/2024
68,0.040458819,6.34E-05,0.112186676,1.80E-05,3/9/2024
69,0.039485472,6.71E-05,0.111414436,6.09E-06,3/10/2024
70,0.040319429,5.96E-05,0.112774866,-1.37E-04,3/11/2024
71,0.038183968,6.73E-05,0.113650519,2.18E-04,3/12/2024
72,0.039017296,6.20E-05,0.112787952,6.02E-05,3/13/2024
73,0.0388981,5.66E-05,0.112433887,1.81E-05,3/14/2024
74,0.037983072,6.56E-05,0.111621087,1.46E-04,3/15/2024
75,0.041025442,6.04E-05,0.115362768,-6.97E-05,3/16/2024
76,0.041916603,6.14E-05,0.116973463,8.58E-05,3/17/2024
77,0.040289037,6.35E-05,0.117205786,1.89E-04,3/18/2024
78,0.040656013,5.91E-05,0.119816611,-1.81E-06,3/19/2024
79,0.040085052,5.57E-05,0.118576701,6.87E-04,3/20/2024
80,0.039192733,5.47E-05,0.117357801,2.79E-05,3/21/2024
81,0.037454834,5.54E-05,0.117141172,-5.83E-05,3/22/2024
82,,,,,3/23/2024
83,0.037230908,6.08E-05,0.120034072,2.90E-04,3/24/2024
84,0.042455594,5.79E-05,0.118320409,-2.04E-05,3/25/2024
85,0.039807266,6.63E-05,0.117004681,3.69E-04,3/26/2024
86,0.037521602,6.30E-05,0.116102059,1.88E-04,3/27/2024
87,0.035367948,6.26E-05,0.116476704,1.89E-04,3/28/2024
88,0.042279223,6.57E-05,0.117204305,1.70E-04,3/29/2024
89,0.039400204,6.77E-05,0.117171025,8.86E-05,3/30/2024
90,0.037100673,7.18E-05,0.117490769,2.12E-04,3/31/2024
91,0.036696652,6.88E-05,0.119573311,-1.04E-04,4/1/2024
92,0.037410211,7.24E-05,0.120914105,7.83E-05,4/2/2024
93,0.038590513,7.12E-05,0.120707111,2.21E-05,4/3/2024
94,0.033873636,6.49E-05,0.121474323,7.54E-05,4/4/2024
95,0.036001525,5.91E-05,0.119109262,1.91E-04,4/5/2024
96,0.041292397,7.13E-05,0.120581462,1.90E-04,4/6/2024
97,0.036604406,6.53E-05,0.121150425,8.11E-05,4/7/2024
98,0.038317036,7.50E-05,0.12185519,1.49E-04,4/8/2024
99,0.03764287,5.95E-05,0.122388121,-2.05E-04,4/9/2024
100,0.03866933,6.22E-05,0.122404801,4.18E-05,4/10/2024
101,0.035371626,5.90E-05,0.121437161,1.61E-04,4/11/2024
102,0.037811411,5.87E-05,0.122048809,3.09E-05,4/12/2024
103,0.036910402,6.37E-05,0.123637487,1.78E-05,4/13/2024
104,0.038891315,6.17E-05,0.122210904,2.19E-05,4/14/2024
105,0.035308732,5.70E-05,0.122894006,-2.09E-06,4/15/2024
106,0.037923889,7.11E-05,0.123451345,1.50E-04,4/16/2024
107,0.042478541,5.91E-05,0.121940449,7.63E-05,4/17/2024
108,0.046299368,8.24E-05,0.123156227,-2.47E-04,4/18/2024
109,0.040678242,6.96E-05,0.121823393,5.13E-05,4/19/2024
110,,6.66E-05,0.122990713,,4/20/2024
111,0.036808326,7.08E-05,0.122627607,2.61E-04,4/21/2024
112,0.035979709,7.11E-05,0.122009806,1.41E-04,4/22/2024
113,0.032396413,6.49E-05,0.122653062,1.76E-04,4/23/2024
114,0.035402725,6.17E-05,0.119828624,7.83E-05,4/24/2024
115,0.033997569,6.49E-05,0.12035098,6.92E-05,4/25/2024
116,0.037189388,6.12E-05,0.12184213,-9.65E-06,4/26/2024
117,0.033251381,6.32E-05,0.121308026,2.92E-04,4/27/2024
118,0.034398769,6.68E-05,0.121136295,1.05E-04,4/28/2024
119,0.031365793,6.77E-05,0.121706789,7.11E-05,4/29/2024
120,0.03139615,7.25E-05,0.123453265,-7.70E-05,4/30/2024
121,0.033894466,7.82E-05,0.123299234,7.27E-06,5/1/2024
122,0.035221786,8.98E-05,0.121819365,,5/2/2024
123,,,0.123593307,,5/3/2024
124,0.041467128,1.07E-04,0.123167618,4.44E-05,5/4/2024
125,0.037054206,9.33E-05,0.125077014,9.78E-05,5/5/2024
126,0.038377767,9.04E-05,0.126694651,4.66E-07,5/6/2024
127,0.035176641,8.21E-05,0.12539997,1.97E-04,5/7/2024
128,0.040876851,9.30E-05,0.127093015,-1.02E-05,5/8/2024
129,0.036833875,9.07E-05,0.127401992,1.61E-05,5/9/2024
130,0.040135866,8.51E-05,0.127789269,-8.67E-05,5/10/2024
131,0.035255026,6.72E-05,0.130611501,7.30E-05,5/11/2024
132,0.035831737,7.42E-05,0.126738057,,5/12/2024
133,0.034421855,8.11E-05,0.126109875,-8.79E-05,5/13/2024
134,0.03547487,6.60E-05,0.12189393,-1.79E-04,5/14/2024
135,0.029083111,6.16E-05,0.119141366,,5/15/2024
136,0.029971624,9.11E-05,0.118015374,,5/16/2024
137,,2.93E-05,0.121525439,,5/17/2024
138,0.030913863,4.29E-05,0.12109402,,5/18/2024
139,0.033283597,4.42E-05,0.123743455,,5/19/2024
140,0.028529172,6.25E-05,0.12004821,,5/20/2024
141,0.029324875,4.13E-05,0.118482386,4.21E-04,5/21/2024
142,0.027720498,4.74E-05,0.12317067,,5/22/2024
143,,5.36E-05,0.124819397,,5/23/2024
144,0.034483223,5.94E-05,0.123156311,,5/24/2024
145,,5.58E-05,0.124873149,,5/25/2024
146,0.042961466,6.79E-05,0.127584845,2.40E-04,5/26/2024
147,0.037704725,7.27E-05,0.126166539,1.53E-04,5/27/2024
148,0.034587958,6.03E-05,0.12234712,-5.93E-05,5/28/2024
149,,5.89E-05,0.123676851,-1.29E-04,5/29/2024
150,0.036054569,7.10E-05,0.12323457,-6.53E-05,5/30/2024
151,0.032885623,7.26E-05,0.123491223,3.18E-05,5/31/2024
152,0.033115225,6.73E-05,0.124193181,1.11E-05,6/1/2024
153,0.037635494,5.90E-05,0.125519875,2.50E-05,6/2/2024
154,,7.13E-05,0.124626196,4.74E-05,6/3/2024
155,0.030341583,5.85E-05,0.126018414,-4.89E-06,6/4/2024
156,0.028264028,4.87E-05,0.124329301,9.81E-07,6/5/2024
157,0.030701685,7.10E-05,0.124545829,1.26E-04,6/6/2024
158,0.027976369,6.83E-05,0.124388826,,6/7/2024
159,0.026054342,5.60E-05,0.125602799,1.64E-04,6/8/2024
160,0.030149198,5.95E-05,0.123454577,-2.30E-05,6/9/2024
161,0.025480831,5.11E-05,0.123212525,-5.11E-05,6/10/2024
162,0.02673404,5.32E-05,0.122315081,-4.60E-05,6/11/2024
163,0.026092593,6.38E-05,0.123699626,7.41E-05,6/12/2024
164,0.02705097,6.12E-05,0.123227385,-1.52E-04,6/13/2024
165,0.026203325,6.00E-05,0.123217464,,6/14/2024
166,,6.19E-05,0.123103013,4.02E-05,6/15/2024
167,0.02534772,5.45E-05,0.125215294,-1.13E-04,6/16/2024
168,0.025953782,5.73E-05,0.125556958,-9.03E-07,6/17/2024
169,0.02777062,6.05E-05,0.126118477,1.07E-05,6/18/2024
170,0.027495588,6.07E-05,0.124479495,1.15E-04,6/19/2024
171,0.027139783,6.84E-05,0.126339162,-1.23E-04,6/20/2024
172,0.026627078,5.57E-05,0.123760574,-2.12E-04,6/21/2024
173,0.02745161,5.81E-05,0.124938446,-5.74E-05,6/22/2024
174,0.026042362,4.96E-05,0.124137189,1.95E-04,6/23/2024
175,0.023801787,4.90E-05,0.124914673,,6/24/2024
176,0.026799433,4.80E-05,0.123748736,,6/25/2024
177,,6.83E-05,0.123265827,,6/26/2024
178,,6.64E-05,0.121668622,,6/27/2024
179,0.022519765,5.06E-05,0.127025037,5.91E-05,6/28/2024
180,0.023140633,4.99E-05,0.125091087,,6/29/2024
181,,8.24E-05,0.124696919,,6/30/2024
182,,5.93E-05,0.125547701,,7/1/2024
183,0.02384754,5.35E-05,0.125077615,-1.14E-04,7/2/2024
184,0.023228507,5.56E-05,0.124456359,-6.66E-05,7/3/2024
185,0.024431705,5.61E-05,0.124826278,,7/4/2024
186,0.024228049,5.80E-05,0.12480353,,7/5/2024
187,,4.99E-05,0.124505448,,7/6/2024
188,,4.29E-05,0.125012037,,7/7/2024
189,,5.95E-05,0.126300917,,7/8/2024
190,0.023568552,5.31E-05,0.126406758,,7/9/2024
191,0.023867521,5.55E-05,0.126045502,1.77E-04,7/10/2024
192,0.025960849,7.62E-05,0.126782395,1.03E-04,7/11/2024
193,0.024613459,5.41E-05,0.126816008,-5.65E-06,7/12/2024
194,0.025329434,6.44E-05,0.124307008,,7/13/2024
195,0.026489683,7.84E-05,0.125735769,,7/14/2024
196,,6.94E-05,0.125467155,,7/15/2024
197,,5.51E-05,0.124869954,,7/16/2024
198,,6.00E-05,0.123098667,,7/17/2024
199,0.01423155,7.57E-05,0.123251021,,7/18/2024
200,,9.37E-05,0.123333199,,7/19/2024
201,,5.50E-05,0.122650186,,7/20/2024
202,0.024050429,4.18E-05,0.124561314,,7/21/2024
203,0.024466702,4.82E-05,0.126769305,,7/22/2024
204,0.022950668,4.78E-05,0.127798046,,7/23/2024
205,0.023031501,3.57E-05,0.125723636,,7/24/2024
206,0.02462368,5.16E-05,0.125872657,4.93E-07,7/25/2024
207,,2.45E-05,0.124218258,,7/26/2024
208,,3.66E-05,0.122742173,,7/27/2024
209,0.026684944,4.83E-05,0.123067161,-9.31E-05,7/28/2024
210,0.024083973,4.84E-05,0.121530209,,7/29/2024
211,0.02367602,7.59E-05,0.120337775,,7/30/2024
212,0.027452515,5.75E-05,0.121272277,,7/31/2024
213,0.026396472,5.38E-05,0.119672226,,8/1/2024
214,,5.78E-05,0.121000061,,8/2/2024
215,0.025080513,5.19E-05,0.121982835,-1.51E-04,8/3/2024
216,0.025065828,4.72E-05,0.122903133,3.81E-06,8/4/2024
217,0.026806121,5.72E-05,0.122573925,1.59E-04,8/5/2024
218,,6.60E-05,0.122885481,,8/6/2024
219,,6.56E-05,0.123293833,,8/7/2024
220,0.025696487,4.65E-05,0.122898175,,8/8/2024
221,0.026442168,6.30E-05,0.126474649,-4.81E-05,8/9/2024
222,0.026736672,6.35E-05,0.123467608,4.46E-05,8/10/2024
223,0.022614293,5.77E-05,0.126149583,,8/11/2024
224,0.025020396,5.13E-05,0.124642859,-3.33E-04,8/12/2024
225,0.024296926,5.07E-05,0.125083431,-9.70E-05,8/13/2024
226,0.025124836,4.48E-05,0.122871972,-5.83E-05,8/14/2024
227,0.022063696,5.06E-05,0.121817459,-9.61E-05,8/15/2024
228,0.02428445,4.75E-05,0.122135855,,8/16/2024
229,0.024370633,5.73E-05,0.120534986,-8.22E-05,8/17/2024
230,0.02539356,4.70E-05,0.119015514,-8.01E-05,8/18/2024
231,0.025092771,5.50E-05,0.122162048,-7.33E-05,8/19/2024
232,0.022960735,4.96E-05,0.121641762,-1.17E-04,8/20/2024
233,,4.69E-05,0.12298867,-1.84E-04,8/21/2024
234,0.024947551,4.50E-05,0.123183843,4.30E-04,8/22/2024
235,0.023519266,5.04E-05,0.123937102,-7.25E-05,8/23/2024
236,0.024745546,5.25E-05,0.123857299,-1.28E-04,8/24/2024
237,0.024474749,4.48E-05,0.12585824,1.12E-05,8/25/2024
238,0.025050468,4.48E-05,0.122478975,,8/26/2024
239,0.022984027,4.88E-05,0.124394141,,8/27/2024
240,,4.54E-05,0.124910733,,8/28/2024
241,0.022890471,4.84E-05,0.124753422,,8/29/2024
242,,5.31E-05,0.123853805,,8/30/2024
243,,4.89E-05,0.123865867,,8/31/2024
244,0.024360845,6.12E-05,0.123941349,,9/1/2024
245,0.023965843,5.08E-05,0.124805515,3.63E-05,9/2/2024
246,,5.93E-05,0.124531816,,9/3/2024
247,0.025809023,5.29E-05,0.125057288,-1.03E-04,9/4/2024
248,0.025859217,4.69E-05,0.126369685,7.78E-05,9/5/2024
249,,4.76E-05,0.123734814,,9/6/2024
250,,6.59E-05,0.12792399,,9/7/2024
251,,7.29E-05,0.127306039,,9/8/2024
252,0.027348149,5.76E-05,0.123753047,4.28E-05,9/9/2024
253,0.02641689,4.78E-05,0.123773835,-7.70E-06,9/10/2024
254,0.024579023,5.56E-05,0.124250008,,9/11/2024
255,0.024428923,5.55E-05,0.123866444,1.25E-04,9/12/2024
256,0.02685363,5.40E-05,0.125348614,-2.22E-04,9/13/2024
257,0.025395239,5.95E-05,0.125546826,-1.67E-04,9/14/2024
258,0.028591196,5.74E-05,0.126197963,-6.25E-06,9/15/2024
259,0.024059786,5.74E-05,0.127700179,4.50E-05,9/16/2024
260,0.025670987,5.35E-05,0.126176591,7.32E-05,9/17/2024
261,0.025049689,6.27E-05,0.126639002,1.24E-04,9/18/2024
262,0.028185032,5.58E-05,0.125055106,6.94E-06,9/19/2024
263,0.028390872,6.32E-05,0.12586541,-4.04E-05,9/20/2024
264,0.030664338,6.87E-05,0.124912001,9.06E-05,9/21/2024
265,0.032825777,7.47E-05,0.123840148,,9/22/2024
266,0.032903525,6.81E-05,0.124416318,,9/23/2024
267,,,,,9/24/2024
268,0.030354251,5.33E-05,0.125223801,-1.68E-04,9/25/2024
269,0.027679992,5.05E-05,0.125364213,,9/26/2024
270,0.02643738,5.26E-05,0.126405226,,9/27/2024
271,0.025808253,5.61E-05,0.125033132,,9/28/2024
272,0.027341366,5.11E-05,0.124007692,,9/29/2024
273,0.024430761,5.05E-05,0.124467951,-2.91E-05,9/30/2024
274,0.026918676,5.37E-05,0.124195667,-1.22E-05,10/1/2024
275,0.024926229,6.26E-05,0.124524984,1.14E-04,10/2/2024
276,0.032251686,6.24E-05,0.125953727,-7.79E-05,10/3/2024
277,0.030177663,8.53E-05,0.125740337,5.31E-05,10/4/2024
278,0.031991737,8.60E-05,0.125596591,,10/5/2024
279,0.028216412,5.85E-05,0.125900477,-8.37E-05,10/6/2024
280,0.028870736,4.84E-05,0.124743903,3.95E-04,10/7/2024
281,0.029691028,5.74E-05,0.123119119,,10/8/2024
282,0.029618323,6.13E-05,0.123731241,1.04E-04,10/9/2024
283,0.027789893,5.95E-05,0.122821887,,10/10/2024
284,0.028651769,4.52E-05,0.122591798,,10/11/2024
285,0.02837327,4.46E-05,0.122467713,6.33E-05,10/12/2024
286,0.029706538,4.43E-05,0.121402834,-1.32E-04,10/13/2024
287,,,0.120163598,,10/14/2024
288,,6.40E-05,0.119550592,,10/15/2024
289,0.03034185,8.90E-05,0.120363979,,10/16/2024
290,0.031806625,4.88E-05,0.120614091,-5.19E-05,10/17/2024
291,0.024931283,5.71E-05,0.123392072,,10/18/2024
292,0.031438243,6.55E-05,0.12355845,,10/19/2024
293,0.029279134,6.03E-05,0.12231183,-1.89E-04,10/20/2024
294,0.030482176,5.29E-05,0.12171303,-1.41E-05,10/21/2024
295,0.029375769,5.07E-05,0.122090836,4.54E-05,10/22/2024
296,0.028817758,5.00E-05,0.122697552,-2.43E-05,10/23/2024
297,0.032429966,5.07E-05,0.123598221,,10/24/2024
298,,8.91E-05,0.121376225,,10/25/2024
299,0.034439967,7.06E-05,0.122794068,4.01E-04,10/26/2024
300,0.03801728,6.33E-05,0.121651419,-9.38E-05,10/27/2024
301,0.035670933,6.02E-05,0.122137543,6.43E-05,10/28/2024
302,0.035364291,5.82E-05,0.121672853,4.99E-05,10/29/2024
303,0.03690751,5.60E-05,0.121960318,,10/30/2024
304,0.038360516,5.64E-05,0.122421853,,10/31/2024
305,0.035012744,5.32E-05,0.123351425,2.10E-06,11/1/2024
306,0.033735254,5.21E-05,0.122531188,6.44E-05,11/2/2024
307,0.031146709,4.39E-05,0.121888548,2.19E-05,11/3/2024
308,0.031214239,4.67E-05,0.124229564,-9.85E-05,11/4/2024
309,0.030950651,5.58E-05,0.124752995,,11/5/2024
310,0.036222309,5.63E-05,0.122303878,1.07E-05,11/6/2024
311,0.034953543,4.53E-05,0.121977384,,11/7/2024
312,0.033929291,5.40E-05,0.123624475,5.76E-05,11/8/2024
313,0.034875554,5.44E-05,0.122533635,-7.35E-05,11/9/2024
314,0.035893518,7.08E-05,0.120110224,-4.30E-05,11/10/2024
315,0.034661605,5.82E-05,0.117292399,1.10E-04,11/11/2024
316,0.033977689,4.86E-05,0.114903666,,11/12/2024
317,,4.79E-05,0.116613941,,11/13/2024
318,,5.18E-05,0.11713627,,11/14/2024
319,0.034201023,4.71E-05,0.116263828,,11/15/2024
320,0.034254385,4.78E-05,0.115969612,-1.26E-05,11/16/2024
321,0.040840897,4.63E-05,0.115834787,-1.03E-06,11/17/2024
322,0.038301784,4.89E-05,0.116838706,-4.93E-06,11/18/2024
323,0.034713215,4.82E-05,0.117385907,-4.41E-05,11/19/2024
324,0.033667933,4.63E-05,0.116970689,,11/20/2024
325,0.034553279,5.92E-05,0.116053641,2.02E-04,11/21/2024
326,0.036723238,5.76E-05,0.116782491,3.91E-05,11/22/2024
327,0.034559773,6.18E-05,0.117998233,-2.91E-05,11/23/2024
328,,5.39E-05,0.116761491,,11/24/2024
329,,5.52E-05,0.116097152,,11/25/2024
330,,3.88E-05,0.115201331,,11/26/2024
331,,5.48E-05,0.113868718,,11/27/2024
332,0.0372714,6.74E-05,0.112741517,-2.87E-05,11/28/2024
333,0.036428688,5.70E-05,0.113906222,,11/29/2024
334,,,0.112517472,,11/30/2024
335,,,0.11283208,,12/1/2024
336,0.044519148,5.86E-05,0.109355476,,12/2/2024
337,0.041635706,4.88E-05,0.111344371,-1.20E-05,12/3/2024
338,0.034942293,4.10E-05,0.108236317,,12/4/2024
339,0.031027937,4.43E-05,0.110886165,1.08E-05,12/5/2024
340,0.033891505,4.24E-05,0.110609409,-5.27E-05,12/6/2024
341,0.033977952,4.83E-05,0.111895861,-5.58E-05,12/7/2024
342,0.036048111,4.80E-05,0.113541282,-7.36E-06,12/8/2024
343,0.035766428,4.75E-05,0.11431657,-6.89E-06,12/9/2024
344,0.036116946,4.77E-05,0.113716652,-4.08E-05,12/10/2024
345,,4.11E-05,0.113085765,,12/11/2024
346,,6.63E-05,0.110856223,,12/12/2024
347,,5.01E-05,0.110587951,,12/13/2024
348,0.034011898,4.28E-05,0.110650262,4.85E-07,12/14/2024
349,0.035694599,4.51E-05,0.11294463,-9.45E-05,12/15/2024
350,0.034259317,5.00E-05,0.112348075,-6.07E-05,12/16/2024
351,0.037818582,4.54E-05,0.111864126,8.84E-05,12/17/2024
352,0.040622372,4.64E-05,0.112576886,,12/18/2024
353,0.039675247,4.82E-05,0.110444851,5.34E-06,12/19/2024
354,0.042275522,5.33E-05,0.111668404,6.31E-06,12/20/2024
355,0.036424535,6.72E-05,0.113155882,2.02E-06,12/21/2024
356,0.043905527,5.89E-05,0.113906554,,12/22/2024
357,0.037999892,5.90E-05,0.115778099,1.51E-04,12/23/2024
358,0.041189717,4.92E-05,0.116569025,-6.01E-05,12/24/2024
359,,4.24E-05,0.114743209,,12/25/2024
360,0.038072624,3.77E-05,0.114254164,,12/26/2024
361,0.041176733,4.00E-05,0.114240554,,12/27/2024
362,0.037996839,4.90E-05,0.11397988,1.36E-04,12/28/2024
363,0.033432902,4.84E-05,0.114940532,7.49E-06,12/29/2024
364,0.030134405,4.22E-05,0.116716713,,12/30/2024
365,0.030433105,4.79E-05,0.113474445,-2.80E-05,12/31/2024
